Cluster,name,capacity,,,,,
Cluster 4,PV_PMG_TUTUVEN,9,SOLAR_5,,,,
Cluster 4,PV_PMG_VILLA_LONGAVI,9,SOLAR_5,,,,
Cluster 4,PV_QUINANTU,9,SOLAR_5,,,,
Cluster 4,PV_RAUQUEN,9,SOLAR_5,,,,
Cluster 4,PV_ROMERO,9,SOLAR_5,,,,
Cluster 4,PV_SANTA_FE,9,SOLAR_5,,,,
Cluster 4,PV_SAN_EUGENIO_SOLAR,9,SOLAR_5,,,,
Cluster 4,PV_SAN_YOLANDO,9,SOLAR_5,,,,
Cluster 4,PV_TALCA,9,SOLAR_5,,,,
Cluster 4,PV_VILLA_ALEGRE,9,SOLAR_5,,,,
Cluster 4,PV_PELLIN,10,SOLAR_5,,,,
Cluster 4,PV_SAN_ALBERTO,10,SOLAR_5,,,,
Cluster 4,PV_DUQUECO_SOLAR,11,SOLAR_5,,,,
Cluster 4,PV_EL_OLIVAR,11,SOLAR_5,,,,
Cluster 12,GX_PV_CARDONES,0,SOLAR_13,,,,
Cluster 12,GX_PV_KIMAL,0,SOLAR_13,,,,
Cluster 12,GX_PV_KIMAL_BTM,0,SOLAR_13,,,,
Cluster 12,GX_PV_PALMONTE,0,SOLAR_13,,,,
Cluster 12,GX_PV_PALMONTE_BTM,0,SOLAR_13,,,,
Cluster 12,GX_PV_POLPAICO,0,SOLAR_13,,,,
Cluster 12,GX_PV_POLPAICO_BTM,0,SOLAR_13,,,,
Cluster 5,PV_CAIMI,0.2,SOLAR_6,,,,
Cluster 5,PV_ICB,0.3,SOLAR_6,,,,
Cluster 5,PV_LO_BOZA,0.8,SOLAR_6,,,,
Cluster 5,PV_TECHOS_WATTS,0.9,SOLAR_6,,,,
Cluster 5,PV_KAUFMANN,1,SOLAR_6,,,,
Cluster 5,PV_LOS_PERALES_1_2,1,SOLAR_6,,,,
Cluster 5,PV_LA_SILLA,1.9,SOLAR_6,,,,
Cluster 5,PV_LOS_PERALES_1,2,SOLAR_6,,,,
Cluster 5,PV_PUNTA_BAJA,2,SOLAR_6,,,,
Cluster 5,PV_ALTOS_DEL_PAICO,2.1,SOLAR_6,,,,
Cluster 5,PV_VILLA_ALEMANA,2.7,SOLAR_6,,,,
Cluster 5,PV_ARIZTIA,2.8,SOLAR_6,,,,
Cluster 5,PV_FALCON,2.9,SOLAR_6,,,,
Cluster 5,PV_OCOA,2.9,SOLAR_6,,,,
Cluster 5,PV_RODEO,2.9,SOLAR_6,,,,
Cluster 5,PV_SAN_RAMIRO,2.9,SOLAR_6,,,,
Cluster 5,PV_LOS_GIRASOLES,2.96,SOLAR_6,,,,
Cluster 5,PV_CHANCON,2.99,SOLAR_6,,,,
Cluster 5,PV_ALICAHUE,3,SOLAR_6,,,,
Cluster 5,PV_ALTOS_TILTIL,3,SOLAR_6,,,,
Cluster 5,PV_ALTO_SOLAR,3,SOLAR_6,,,,
Cluster 5,PV_CABILSOL,3,SOLAR_6,,,,
Cluster 5,PV_CALLE_LARGA,3,SOLAR_6,,,,
Cluster 5,PV_CASUTO,3,SOLAR_6,,,,
Cluster 5,PV_CATAN,3,SOLAR_6,,,,
Cluster 5,PV_CRUZ_SOLAR_1,3,SOLAR_6,,,,
Cluster 5,PV_DINAMO,3,SOLAR_6,,,,
Cluster 5,PV_EL_NANDU,3,SOLAR_6,,,,
Cluster 5,PV_EL_PALQUI,3,SOLAR_6,,,,
Cluster 5,PV_EL_QUELTEHUE,3,SOLAR_6,,,,
Cluster 5,PV_ESTANCILLA,3,SOLAR_6,,,,
Cluster 5,PV_FARAMALLA,3,SOLAR_6,,,,
Cluster 5,PV_GUADALAO,3,SOLAR_6,,,,
Cluster 5,PV_GUADALUPE,3,SOLAR_6,,,,
Cluster 5,PV_GUARANA,3,SOLAR_6,,,,
Cluster 5,PV_KONDA,3,SOLAR_6,,,,
Cluster 5,PV_LAS_CHACRAS,3,SOLAR_6,,,,
Cluster 5,PV_LAS_PALMAS_DEL_VERANO_SOLAR,3,SOLAR_6,,,,
Cluster 5,PV_LAS_TERRAZAS,3,SOLAR_6,,,,
Cluster 5,PV_LAS_TURCAS,3,SOLAR_6,,,,
Cluster 5,PV_LA_ESTANCIA,3,SOLAR_6,,,,
Cluster 5,PV_LA_FORTUNA_1,3,SOLAR_6,,,,
Cluster 5,PV_LA_QUINTA,3,SOLAR_6,,,,
Cluster 5,PV_LIPANGUE,3,SOLAR_6,,,,
Cluster 5,PV_LLAYLLAY_1Y,3,SOLAR_6,,,,
Cluster 5,PV_LOS_JOTES,3,SOLAR_6,,,,
Cluster 5,PV_MARIN,3,SOLAR_6,,,,
Cluster 5,PV_PFV_EL_HALCON,3,SOLAR_6,,,,
Cluster 5,PV_PLAYERO_3,3,SOLAR_6,,,,
Cluster 5,PV_PMGD_VILLA_ALEMANA,3,SOLAR_6,,,,
Cluster 5,PV_PORTEZUELO,3,SOLAR_6,,,,
Cluster 5,PV_REXNER,3,SOLAR_6,,,,
Cluster 5,PV_RINCONADA_NORTE,3,SOLAR_6,,,,
Cluster 5,PV_SANTA_INES,3,SOLAR_6,,,,
Cluster 5,PV_SANTUARIO,3,SOLAR_6,,,,
Cluster 5,PV_SAN_FRANCISCO,3,SOLAR_6,,,,
Cluster 5,PV_SLK_CB_NUEVE,3,SOLAR_6,,,,
Cluster 5,PV_TIL_TIL,3,SOLAR_6,,,,
