Cluster,name,capacity
Cluster 2,PV_SAN_ANDRES,48.2
Cluster 3,PV_SAN_ANTONIO,9.0
Cluster 3,PV_SAN_ANTONIO_MALVILLA,3.0
Cluster 1,PV_SAN_CAMILO,3.0
Cluster 1,PV_SAN_EUGENIO_SOLAR,9.0
Cluster 2,PV_SAN_FRANCISCO,3.0
Cluster 1,PV_SAN_FRANCISCO_PARRAL,3.0
Cluster 0,PV_SAN_ISIDRO,3.0
Cluster 1,PV_SAN_JAVIER_1,2.5
Cluster 1,PV_SAN_JOSE,3.0
Cluster 4,PV_SAN_MARCOS,3.0
Cluster 0,PV_SAN_PEDRO,3.0
Cluster 0,PV_SAN_PEDRO_GPG,106.0
